race_date,race_code,umaban,bamei,chaku,odds_fin
2026-08-15,2026081501010707,2,エリナ,15,317.7000000000000000
2026-08-16,2026081601010801,10,プルーフリーディン,1,3.8000000000000000
2026-08-16,2026081601010801,11,ハピネスドリーム,9,84.1000000000000000
2026-08-16,2026081601010801,13,ストリートクイーン,12,6.1000000000000000
2026-08-16,2026081601010801,8,セントピュアベース,5,34.9000000000000000
2026-08-16,2026081601010801,9,アリディプラチノ,6,195.0000000000000000
2026-08-16,2026081601010801,12,フローズンクイーン,13,236.9000000000000000
2026-08-16,2026081601010804,1,アロハ,11,12.2000000000000000
2026-08-15,2026081501010701,7,ショウナンタヅナ,4,14.1000000000000000
2026-08-15,2026081501010701,10,アンタレス,,
2026-08-15,2026081501010701,14,ワンダーゾルダート,10,16.5000000000000000
2026-08-16,2026081601010801,3,ウォータースパウト,2,12.5000000000000000
2026-08-16,2026081601010801,5,ルージュリヴィエラ,7,2.3000000000000000
2026-08-16,2026081601010801,6,イセッセイ,10,388.8000000000000000
2026-08-16,2026081601010802,6,キチロクタワー,6,3.2000000000000000
2026-08-16,2026081601010801,2,ルナティックブルー,14,46.8000000000000000
2026-08-15,2026081501010701,2,リベンジャー,11,108.5000000000000000
2026-08-15,2026081501010712,8,バルドル,4,8.6000000000000000
2026-08-16,2026081601010802,1,リアルクウカイ,7,53.8000000000000000
2026-08-16,2026081601010802,2,ゴートゥービッツン,3,60.8000000000000000
2026-08-16,2026081601010806,11,エスカレイト,1,6.9000000000000000
2026-08-16,2026081601010810,5,ストロングボンド,11,311.5000000000000000
2026-08-16,2026081601010810,6,マメタンク,10,3.1000000000000000
2026-08-16,2026081601010810,7,タッカージーティー,8,5.2000000000000000
2026-08-16,2026081601010810,9,ウーマンズパワー,5,5.4000000000000000
2026-08-16,2026081601010810,12,キーガッツ,1,23.7000000000000000
2026-08-16,2026081601010812,3,ゲンジ,5,19.3000000000000000
2026-08-16,2026081601010812,1,レイデラティエラ,9,20.1000000000000000
2026-08-16,2026081601010812,2,ダノンヒストリー,1,1.2000000000000000
2026-08-15,2026081501010710,2,セイプリーズ,2,15.6000000000000000
2026-08-15,2026081501010701,12,サンオブザサン,2,11.3000000000000000
2026-08-15,2026081501010701,1,ジャストグレース,3,106.4000000000000000
2026-08-15,2026081501010701,3,クルビデンス,1,2.1000000000000000
2026-08-15,2026081501010701,4,マーゴットデウス,9,35.5000000000000000
2026-08-15,2026081501010708,3,ザハント,7,6.4000000000000000
2026-08-15,2026081501010702,10,タクミオジュウ,8,203.7000000000000000
2026-08-15,2026081501010701,6,フレンチブラッサム,5,4.0000000000000000
2026-08-15,2026081501010701,9,ロードクローザー,12,5.8000000000000000
2026-08-15,2026081501010701,11,ゴーントゥファー,7,239.3000000000000000
2026-08-15,2026081501010701,13,フェンリル,6,14.6000000000000000
2026-08-15,2026081501010702,7,ラヴァンドローリエ,6,29.9000000000000000
2026-08-15,2026081501010702,8,ルージュロマーナ,3,14.5000000000000000
2026-08-15,2026081501010702,2,オンザボー,2,8.9000000000000000
2026-08-15,2026081501010702,3,イッペイ,4,3.5000000000000000
2026-08-15,2026081501010702,4,マイネルサリーレ,10,111.1000000000000000
2026-08-15,2026081501010702,6,カリスマン,9,176.3000000000000000
2026-08-15,2026081501010702,9,レゾンフォルテ,1,1.4000000000000000
2026-08-15,2026081501010703,12,ツクバヴァンガード,7,2.7000000000000000
2026-08-15,2026081501010703,8,ダイユウサルターレ,9,43.0000000000000000
2026-08-15,2026081501010703,4,トルークマクト,8,45.0000000000000000
2026-08-15,2026081501010703,7,デルマハルナ,12,90.1000000000000000
2026-08-15,2026081501010705,8,アオイスミレ,11,11.4000000000000000
2026-08-15,2026081501010703,1,ナブッコ,2,12.9000000000000000
2026-08-15,2026081501010703,3,ソルトアイリス,10,10.2000000000000000
2026-08-15,2026081501010703,11,メイワキラリ,1,7.1000000000000000
2026-08-15,2026081501010703,10,フェイスリフト,3,11.0000000000000000
2026-08-15,2026081501010703,6,アニマレイ,4,4.2000000000000000
2026-08-15,2026081501010703,9,サンライズロイ,5,23.4000000000000000
2026-08-15,2026081501010704,12,モロノカガヤキ,1,8.5000000000000000
2026-08-15,2026081501010703,2,フェアリーキャット,6,10.7000000000000000
2026-08-15,2026081501010703,5,シルフ,11,17.3000000000000000
