race_date,race_code,場,race_bango,hasso_jikoku,umaban,bamei,odds,ninki_now,p_mkt,p_mdl,ev,edge,data_poor,pick_a,pick_d,pick_e,pick_e2
2026-09-06,2026090609040201,阪神,1,955,5,テラレガル　　　　　　　　　　　　　,7.5,4.0,0.10607358752121283,0.13385105408629447,1.0038829056472085,1.2618697756359625,True,True,False,False,False
2026-09-06,2026090609040201,阪神,1,955,6,エイダンバローズ　　　　　　　　　　,10.9,7.0,0.07298641343202718,0.09467713859847594,1.0319808107233879,1.2971885334062827,True,True,False,False,False
2026-09-06,2026090609040203,阪神,3,1100,6,ニシノエビガタメ　　　　　　　　　　,13.6,6.0,0.05853370096907141,0.09204813196563738,1.2518545947326682,1.5725664094651155,False,True,True,True,True
2026-09-06,2026090606040204,中山,4,1140,14,スマートレイナ　　　　　　　　　　　,3.6,1.0,0.22090924595907163,0.2845492145631846,1.0243771724274646,1.28808196020869,False,True,True,False,False
2026-09-06,2026090601020605,札幌,5,1210,4,レッドレグルス　　　　　　　　　　　,7.9,4.0,0.1008825634129777,0.12817634905294717,1.0125931575182827,1.2705500803765097,False,True,True,False,False
2026-09-06,2026090601020606,札幌,6,1240,10,ロードヴィゴラス　　　　　　　　　　,2.4,1.0,0.32745533125054044,0.4766554973549125,1.14397319365179,1.4556351717792526,False,True,True,True,True
2026-09-06,2026090609040209,阪神,9,1420,11,アメリカンコール　　　　　　　　　　,7.0,3.0,0.11293559363730966,0.1707475081744721,1.1952325572213047,1.5119016306127917,False,True,True,True,True
2026-09-06,2026090609040210,阪神,10,1455,9,メイショウヤーキス　　　　　　　　　,11.7,5.0,0.06756766751794255,0.09154490640776616,1.071075404970864,1.3548626106333548,False,True,True,False,True
2026-09-06,2026090609040211,阪神,11,1530,8,ファストネットワーク　　　　　　　　,4.1,2.0,0.19278115992369627,0.29875542616440603,1.2248972472740647,1.5497127742288452,False,True,True,True,True
2026-09-06,2026090606040212,中山,12,1630,12,メーゼ　　　　　　　　　　　　　　　,36.4,12.0,0.02182087942091784,0.02735795184651231,0.995829447213048,1.2537511123537277,False,False,True,False,False
