race_date,race_code,umaban,bamei,chaku,odds_fin
2026-09-19,2026091906040501,1,サリードゥ　　　　　　　　　　　　　,3.0,5.9
2026-09-19,2026091906040501,2,ジンクピリチオン　　　　　　　　　　,6.0,15.3
2026-09-19,2026091906040501,3,ポッドエステラ　　　　　　　　　　　,4.0,86.9
2026-09-19,2026091906040501,4,ソナタテソーロ　　　　　　　　　　　,5.0,43.6
2026-09-19,2026091906040501,5,ルスデルカミーノ　　　　　　　　　　,2.0,10.1
2026-09-19,2026091906040501,6,カシノカゲマル　　　　　　　　　　　,8.0,272.6
2026-09-19,2026091906040501,7,カンタベリートップ　　　　　　　　　,7.0,122.7
2026-09-19,2026091906040501,8,マリノフスキー　　　　　　　　　　　,9.0,193.3
2026-09-19,2026091906040501,9,スマートブライド　　　　　　　　　　,1.0,1.1
2026-09-19,2026091906040502,1,マホロ　　　　　　　　　　　　　　　,7.0,59.8
2026-09-19,2026091906040502,2,ビップルーチェ　　　　　　　　　　　,5.0,62.7
2026-09-19,2026091906040502,3,ハイビスカス　　　　　　　　　　　　,1.0,5.2
2026-09-19,2026091906040502,4,テンユメノオーロラ　　　　　　　　　,2.0,1.4
2026-09-19,2026091906040502,5,ピーエムリンダ　　　　　　　　　　　,4.0,102.2
2026-09-19,2026091906040502,6,ロンドンコーリング　　　　　　　　　,6.0,30.3
2026-09-19,2026091906040502,7,バミューダブーケ　　　　　　　　　　,8.0,31.3
2026-09-19,2026091906040502,8,アフィーリア　　　　　　　　　　　　,3.0,3.5
2026-09-19,2026091906040503,1,サノノファイター　　　　　　　　　　,2.0,19.3
2026-09-19,2026091906040503,2,セイウンウィルド　　　　　　　　　　,3.0,8.6
2026-09-19,2026091906040503,3,エルシオン　　　　　　　　　　　　　,11.0,94.9
2026-09-19,2026091906040503,4,テイクケア　　　　　　　　　　　　　,9.0,185.9
2026-09-19,2026091906040503,5,トルタパスカリーナ　　　　　　　　　,1.0,1.7
2026-09-19,2026091906040503,6,コスモシグナス　　　　　　　　　　　,6.0,8.9
2026-09-19,2026091906040503,7,アミノショコラ　　　　　　　　　　　,12.0,323.6
2026-09-19,2026091906040503,8,ワンキャンパス　　　　　　　　　　　,8.0,24.2
2026-09-19,2026091906040503,9,ノルトハウゼン　　　　　　　　　　　,4.0,5.2
2026-09-19,2026091906040503,10,ショウナンワンパク　　　　　　　　　,7.0,21.4
2026-09-19,2026091906040503,11,イニシャルポイント　　　　　　　　　,5.0,11.0
2026-09-19,2026091906040503,12,コーズサム　　　　　　　　　　　　　,10.0,152.2
2026-09-19,2026091906040504,1,ロジパンドラ　　　　　　　　　　　　,8.0,6.3
2026-09-19,2026091906040504,2,ゼーゲルン　　　　　　　　　　　　　,2.0,4.3
2026-09-19,2026091906040504,3,シウンハゴロモ　　　　　　　　　　　,11.0,25.2
2026-09-19,2026091906040504,4,サンエルディーケー　　　　　　　　　,9.0,106.1
2026-09-19,2026091906040504,5,シルバーノリダー　　　　　　　　　　,1.0,12.9
2026-09-19,2026091906040504,6,ルナロマンティカ　　　　　　　　　　,7.0,3.6
2026-09-19,2026091906040504,7,アマルレイナ　　　　　　　　　　　　,16.0,68.2
2026-09-19,2026091906040504,8,スヴァラ　　　　　　　　　　　　　　,15.0,94.6
2026-09-19,2026091906040504,9,ニホンノヨアケゼヨ　　　　　　　　　,3.0,29.6
2026-09-19,2026091906040504,10,フクチャンヨシ　　　　　　　　　　　,5.0,4.2
2026-09-19,2026091906040504,11,プリマラクーン　　　　　　　　　　　,14.0,67.3
2026-09-19,2026091906040504,12,ニシノハナカケル　　　　　　　　　　,12.0,109.0
2026-09-19,2026091906040504,13,シクラメン　　　　　　　　　　　　　,4.0,27.5
2026-09-19,2026091906040504,14,ペルラビアンカ　　　　　　　　　　　,6.0,12.4
2026-09-19,2026091906040504,15,イキデイナセ　　　　　　　　　　　　,13.0,103.8
2026-09-19,2026091906040504,16,キャンディメモリー　　　　　　　　　,10.0,59.4
2026-09-19,2026091906040505,1,ディヴァンパーレ　　　　　　　　　　,6.0,40.9
2026-09-19,2026091906040505,2,レインボーフライト　　　　　　　　　,2.0,2.6
2026-09-19,2026091906040505,3,トパーズプレミア　　　　　　　　　　,5.0,18.5
2026-09-19,2026091906040505,4,メイダイ　　　　　　　　　　　　　　,3.0,120.1
2026-09-19,2026091906040505,5,ツェルプスト　　　　　　　　　　　　,4.0,82.1
2026-09-19,2026091906040505,6,プルヴィナル　　　　　　　　　　　　,1.0,1.6
2026-09-19,2026091906040505,7,ルージュルフラン　　　　　　　　　　,12.0,15.4
2026-09-19,2026091906040505,8,ドッグズノーズ　　　　　　　　　　　,8.0,42.9
2026-09-19,2026091906040505,9,フレッシュオレンジ　　　　　　　　　,9.0,26.0
2026-09-19,2026091906040505,10,セイウンガレス　　　　　　　　　　　,10.0,47.1
2026-09-19,2026091906040505,11,セイウンランウェイ　　　　　　　　　,11.0,57.0
2026-09-19,2026091906040505,12,バーチディダーマ　　　　　　　　　　,7.0,232.7
2026-09-19,2026091906040506,1,ムードメーカー　　　　　　　　　　　,6.0,60.0
2026-09-19,2026091906040506,2,キタノエフロレス　　　　　　　　　　,9.0,37.0
2026-09-19,2026091906040506,3,エクランレーヴ　　　　　　　　　　　,3.0,9.2
2026-09-19,2026091906040506,4,ルスカーレット　　　　　　　　　　　,4.0,54.5
2026-09-19,2026091906040506,5,ニシノイケガミ　　　　　　　　　　　,12.0,32.2
2026-09-19,2026091906040506,6,ライジングファイト　　　　　　　　　,5.0,55.5
2026-09-19,2026091906040506,7,ケイツーズウォティ　　　　　　　　　,11.0,221.1
2026-09-19,2026091906040506,8,ローブリッター　　　　　　　　　　　,7.0,86.2
2026-09-19,2026091906040506,9,サクセスメロディー　　　　　　　　　,8.0,12.9
2026-09-19,2026091906040506,10,ユウライクスター　　　　　　　　　　,1.0,1.4
2026-09-19,2026091906040506,11,ブレイズリー　　　　　　　　　　　　,10.0,22.8
2026-09-19,2026091906040506,12,イトウカカリチョウ　　　　　　　　　,2.0,4.9
2026-09-19,2026091906040507,1,ダイシンパルス　　　　　　　　　　　,14.0,65.0
2026-09-19,2026091906040507,2,ステイアンビシャス　　　　　　　　　,5.0,5.7
2026-09-19,2026091906040507,3,ブレイクザアイス　　　　　　　　　　,4.0,18.9
2026-09-19,2026091906040507,4,ターフクリスタル　　　　　　　　　　,3.0,11.2
2026-09-19,2026091906040507,5,サトノリアン　　　　　　　　　　　　,6.0,5.0
2026-09-19,2026091906040507,6,エクストラプッシュ　　　　　　　　　,2.0,4.6
2026-09-19,2026091906040507,7,ラブトゥエニイワン　　　　　　　　　,13.0,79.4
2026-09-19,2026091906040507,8,ノーマジック　　　　　　　　　　　　,12.0,126.6
2026-09-19,2026091906040507,9,ブライトラン　　　　　　　　　　　　,11.0,14.6
2026-09-19,2026091906040507,10,ゴーントゥファー　　　　　　　　　　,9.0,125.6
2026-09-19,2026091906040507,11,タケルゴールド　　　　　　　　　　　,10.0,9.1
2026-09-19,2026091906040507,12,リオンサーガ　　　　　　　　　　　　,7.0,21.0
2026-09-19,2026091906040507,13,モヴレクス　　　　　　　　　　　　　,8.0,60.5
2026-09-19,2026091906040507,14,デールエルバハリ　　　　　　　　　　,1.0,4.2
2026-09-19,2026091906040508,1,ティルベリー　　　　　　　　　　　　,2.0,7.0
2026-09-19,2026091906040508,2,テンクウハット　　　　　　　　　　　,11.0,377.0
2026-09-19,2026091906040508,3,ルージュカエラ　　　　　　　　　　　,12.0,67.4
2026-09-19,2026091906040508,4,カサビセンス　　　　　　　　　　　　,8.0,81.8
2026-09-19,2026091906040508,5,ヴァレンティーニ　　　　　　　　　　,4.0,3.3
2026-09-19,2026091906040508,6,マタミカンサン　　　　　　　　　　　,1.0,2.1
2026-09-19,2026091906040508,7,アスコットヴェール　　　　　　　　　,,
2026-09-19,2026091906040508,8,デルマホダカ　　　　　　　　　　　　,6.0,17.7
2026-09-19,2026091906040508,9,エウテルペ　　　　　　　　　　　　　,5.0,28.3
2026-09-19,2026091906040508,10,ビスケットマリー　　　　　　　　　　,9.0,212.7
2026-09-19,2026091906040508,11,ジャストキュート　　　　　　　　　　,10.0,259.6
2026-09-19,2026091906040508,12,キタノエピックアン　　　　　　　　　,7.0,7.7
2026-09-19,2026091906040508,13,エコロストーム　　　　　　　　　　　,3.0,18.0
2026-09-19,2026091906040508,14,ペプロス　　　　　　　　　　　　　　,13.0,57.9
2026-09-19,2026091906040509,1,マルモリムソウ　　　　　　　　　　　,2.0,16.5
2026-09-19,2026091906040509,2,ジャスパートレノ　　　　　　　　　　,4.0,2.4
2026-09-19,2026091906040509,3,ダイシンドラゴン　　　　　　　　　　,3.0,6.0
2026-09-19,2026091906040509,4,セタキト　　　　　　　　　　　　　　,5.0,8.2
2026-09-19,2026091906040509,5,ダイメイビッグボス　　　　　　　　　,6.0,14.4
2026-09-19,2026091906040509,6,ジオパークカツキ　　　　　　　　　　,1.0,3.8
2026-09-19,2026091906040509,7,ピクニックマーチ　　　　　　　　　　,7.0,67.7
2026-09-19,2026091906040509,8,ニシノイサリビ　　　　　　　　　　　,9.0,40.9
2026-09-19,2026091906040509,9,ショウナンハーヴェ　　　　　　　　　,8.0,8.4
2026-09-19,2026091906040510,1,ノラリクラリ　　　　　　　　　　　　,2.0,8.3
2026-09-19,2026091906040510,2,トリニティ　　　　　　　　　　　　　,3.0,5.5
2026-09-19,2026091906040510,3,カレンラップスター　　　　　　　　　,4.0,9.9
2026-09-19,2026091906040510,4,モルトマエストーソ　　　　　　　　　,10.0,162.4
2026-09-19,2026091906040510,5,レイヤードレッド　　　　　　　　　　,6.0,102.8
2026-09-19,2026091906040510,6,ウイナーズナイン　　　　　　　　　　,7.0,18.2
2026-09-19,2026091906040510,7,ブリヤディアマンテ　　　　　　　　　,12.0,78.7
2026-09-19,2026091906040510,8,リュクスパトロール　　　　　　　　　,9.0,27.7
2026-09-19,2026091906040510,9,アロンズロッド　　　　　　　　　　　,5.0,2.5
2026-09-19,2026091906040510,10,ダノンピクチャー　　　　　　　　　　,8.0,29.5
2026-09-19,2026091906040510,11,キンググローリー　　　　　　　　　　,1.0,6.0
2026-09-19,2026091906040510,12,マイバレンタイン　　　　　　　　　　,11.0,7.0
2026-09-19,2026091906040511,1,ハナウマビーチ　　　　　　　　　　　,1.0,61.8
2026-09-19,2026091906040511,2,イミグラントソング　　　　　　　　　,,23.8
2026-09-19,2026091906040511,3,モンブランミノル　　　　　　　　　　,6.0,14.8
2026-09-19,2026091906040511,4,イムホテプ　　　　　　　　　　　　　,7.0,7.3
2026-09-19,2026091906040511,5,カンピオーネ　　　　　　　　　　　　,13.0,43.3
2026-09-19,2026091906040511,6,レアンダー　　　　　　　　　　　　　,4.0,55.7
2026-09-19,2026091906040511,7,マーズオデッセイ　　　　　　　　　　,2.0,3.3
2026-09-19,2026091906040511,8,アクションプラン　　　　　　　　　　,12.0,15.4
2026-09-19,2026091906040511,9,ドバイブルース　　　　　　　　　　　,9.0,6.6
2026-09-19,2026091906040511,10,ショウナンライシン　　　　　　　　　,7.0,40.2
2026-09-19,2026091906040511,11,バラジ　　　　　　　　　　　　　　　,10.0,122.6
2026-09-19,2026091906040511,12,マンマリアーレ　　　　　　　　　　　,5.0,75.0
2026-09-19,2026091906040511,13,ゴールデンクラウド　　　　　　　　　,3.0,2.9
2026-09-19,2026091906040511,14,ハビレ　　　　　　　　　　　　　　　,11.0,18.4
